phi,a_1,a_2,a_3,a_4
2.18866337510365,0.791828892174586,0.876411488772011,0.0160275405966187,0.0384994612244065
2.20095923676154,0.837951237946911,0.92493585670461,0.0138125953729492,0.0531500113499419
2.21325509841942,0.881820690123175,0.97128611970973,0.012204588828709,0.0669373312739714
2.22555096007731,0.922931846652716,1.01494512029065,0.01110972412645,0.0797171012859626
2.2378468217352,0.960827477457587,1.05544248549555,0.0104403016126798,0.091369163056918
2.25014268339308,0.995102940144054,1.0923592395072,0.0101151197402175,0.101797697364243
2.26243854505097,1.02540987621859,1.12533171323867,0.0100597773622937,0.110931110064138
2.27473440670885,1.05145914724865,1.15405470719514,0.0102068787106041,0.118721635138455
2.28703026836674,1.07302298084434,1.17828387411375,0.0104961435467995,0.125144666871584
2.29932613002462,1.08993630714135,1.19783729856247,0.0108744260852227,0.130197836254649
2.31162199168251,1.10209727748454,1.21259626161658,0.0112956473109758,0.133899849533079
2.3239178533404,1.1094669680904,1.22250518978088,0.0117206462497165,0.136289109376589
2.33621371499828,1.11206828244769,1.22757079833228,0.012116956573736,0.1374221414279
2.34850957665617,1.10998407694554,1.22786045006511,0.0124585156441836,0.137371850952491
2.36080543831405,1.1033545445454,1.22349976087884,0.0127253136849281,0.136225635944257
2.37310129997194,1.09237390109347,1.21466949360775,0.012902991254414,0.134083384323837
2.38539716162982,1.07728642796733,1.20160179081609,0.0129823935247603,0.13105538378446
2.39769302328771,1.05838193303793,1.18457580583972,0.0129590900909279,0.127260173386334
2.40998888494559,1.03599069929263,1.16391279902916,0.0128328691175794,0.122822366171318
2.42228474660348,1.01047799680524,1.13997077283335,0.0126072145895404,0.117870471866243
2.43458060826137,0.982238238970686,1.11313872496788,0.0122887752677044,0.112534748172035
2.44687646991925,0.951688867975325,1.08383060336186,0.0118868336714561,0.106945108207436
2.45917233157714,0.919264057298037,1.05247904981558,0.0114127830185317,0.101229110406115
2.47146819323502,0.885408320597726,1.01952902128709,0.010879619562398,0.0955100555739835
2.48376405489291,0.850570116625207,0.985431378438221,0.0103014571856199,0.0899052139232941
2.49605991655079,0.815195538804544,0.950636530505937,0.00969307044634917,0.0845242027391021
2.50835577820868,0.779722175883024,0.915588223739298,0.00906947154600432,0.0794675329327544
2.52065163986657,0.744573226589886,0.8807175575887,0.00844552590199717,0.0748253401299201
2.53294750152445,0.710151946629695,0.846437308604924,0.00783561018326091,0.0706763131635931
2.54524336318234,0.676836500640442,0.813136636668337,0.00725331581183241,0.0670868299336655
2.55753922484022,0.64497528505948,0.781176241808561,0.00671120006438422,0.0641103075937934
2.56983508649811,0.614882780265282,0.750884032590218,0.00622058603700748,0.061786770973999
2.58213094815599,0.5868359820166,0.722551358943581,0.00579141187784013,0.060142640084862
2.59442680981388,0.561071453219623,0.696429853533105,0.00543212885811007,0.059190734517126
2.60672267147177,0.537783027554198,0.672728916415054,0.00514964705483879,0.0589304895893295
2.61901853312965,0.517120186624681,0.651613867978088,0.00494932666913507,0.0593483762447483
2.63131439478754,0.499187122217079,0.633204785133787,0.00483501231282403,0.0604185139946535
2.64361025644542,0.484042485091421,0.617576025576681,0.00480910697235194,0.0621034636829277
2.65590611810331,0.471699811667041,0.604756434815741,0.00487268181027281,0.0643551845396322
2.66820197976119,0.462128610116552,0.594730220740291,0.00502561749770497,0.0671161379275883
2.68049784141908,0.455256077915816,0.587438470868697,0.00526677239113416,0.070320518392238
2.69279370307697,0.450969413939517,0.582781278277719,0.00559417257742237,0.0738955911228887
2.70508956473485,0.449118679874442,0.580620433656672,0.00600521861407523,0.0777631137409206
2.71738542639274,0.449520158164069,0.580782633096072,0.00649690368841436,0.0818408194611724
2.72968128805062,0.451960147005658,0.583063144216824,0.00706603790844674,0.0860439381356073
2.74197714970851,0.456199127188104,0.58722986717147,0.00770947351772466,0.0902867314880366
2.75427301136639,0.461976230863981,0.593027721987543,0.00842432599272611,0.0944840189850237
2.76656887302428,0.469013938754926,0.600183289743043,0.00920818622930641,0.0985526712563135
2.77886473468217,0.477022929841572,0.608409632217017,0.0100593193485416,0.10241304876907
2.79116059634005,0.485707006315698,0.617411212978686,0.0109768460445409,0.105990364560127
2.80345645799794,0.494768016483444,0.626888842383116,0.0119609028495004,0.109215951221626
2.81575231965582,0.503910699396728,0.636544569628627,0.0130127781954147,0.11202841399604
2.82804818131371,0.512847377229905,0.646086446881905,0.0141350216979524,0.114374653741399
2.84034404297159,0.521302424767536,0.65523309345428,0.0153315246659127,0.116210745647868
2.85263990462948,0.529016449767559,0.663717992063326,0.0166075704391294,0.117502661891397
2.86493576628737,0.535750123337147,0.671293454268094,0.0179698537681109,0.118226828865051
2.87723162794525,0.541287605716776,0.677734198139509,0.0194264690596641,0.118370512198139
2.88952748960314,0.54543951990893,0.682840488021476,0.0209868679139299,0.117932025420345
2.90182335126102,0.548045433297722,0.686440793743045,0.0226617869597645,0.116920760814477
2.91411921291891,0.54897581566085,0.688393934737065,0.0244631475477894,0.115357043688979
2.92641507457679,0.548133450644564,0.688590683077288,0.0264039293749417,0.113271813951598
2.93871093623468,0.545454286718696,0.686954808328397,0.0284980205830063,0.110706141441009
2.95100679789256,0.540907722711808,0.683443556172528,0.0307600472893141,0.107710583937485
2.96330265955045,0.534496332104062,0.678047561889246,0.0332051858644146,0.104344399092057
2.97559852120834,0.526255039186392,0.670790208782055,0.0358489615641562,0.100674623653703
2.98789438286622,0.516249768840634,0.661726450423393,0.0387070373482281,0.0967750353059642
3.00019024452411,0.504575599923065,0.650941123996196,0.0417949968712944,0.0927250141213064
3.01248610618199,0.491354459917256,0.638546789914479,0.0451281257147993,0.08860832207999
3.02478196783988,0.47673240554387,0.624681140186987,0.048721194937185,0.0845118202606271
3.03707782949776,0.460876540268608,0.609504024536204,0.0525882509584796,0.0805241441760961
3.04937369115565,0.443971625040862,0.593194149001101,0.0567424156642613,0.0767343582897497
3.06166955281354,0.426216443044337,0.575945506550184,0.0611957004169397,0.073230610995494
3.07396541447142,0.407819982681741,0.557963603041004,0.0659588374035447,0.0700988112787544
3.08626127612931,0.388997505399208,0.539461544627907,0.0710411314339764,0.0674213478952399
3.09855713778719,0.369966566249677,0.520656054402589,0.0764503349379628,0.0652758712168509
3.11085299944508,0.35094305528265,0.501763486630419,0.0821925484998288,0.0637341569096774
3.12314886110296,0.332137326932346,0.482995906415092,0.0882721488248668,0.0628610693423645
